,Bubble sort,Bubble sort,Bubble sort,Bubble sort,Bubble sort,Bubble sort,Cocktail sort,Cocktail sort,Cocktail sort,Cocktail sort,Cocktail sort,Cocktail sort,Comb sort,Comb sort,Comb sort,Comb sort,Comb sort,Comb sort
,Random,Random,Sorted,Sorted,Reversed,Reversed,Random,Random,Sorted,Sorted,Reversed,Reversed,Random,Random,Sorted,Sorted,Reversed,Reversed
,comp,copy,comp,copy,comp,copy,comp,copy,comp,copy,comp,copy,comp,copy,comp,copy,comp,copy
100,4749.0,7437.0,99.0,0.0,4950.0,14850.0,4047.0,7437.0,99.0,0.0,4950.0,14850.0,1610.0,729.0,1610.0,0.0,1610.0,324.0
500,123701.0,185886.0,499.0,0.0,124750.0,374250.0,94860.0,185886.0,499.0,0.0,124750.0,374250.0,11995.0,5310.0,11995.0,0.0,11995.0,2130.0
1000,498066.0,755244.0,999.0,0.0,499500.0,1498500.0,384060.0,755244.0,999.0,0.0,499500.0,1498500.0,26969.0,11769.0,26969.0,0.0,26969.0,4422.0
2000,1997527.0,2976060.0,1999.0,0.0,1999000.0,5997000.0,1533870.0,2976060.0,1999.0,0.0,1999000.0,5997000.0,59922.0,24927.0,59922.0,0.0,59922.0,9486.0
3000,4489782.0,6761331.0,2999.0,0.0,4498500.0,13495500.0,3414372.0,6761331.0,2999.0,0.0,4498500.0,13495500.0,95875.0,38631.0,95875.0,0.0,95875.0,15492.0
4000,7964066.0,11901666.0,3999.0,0.0,7998000.0,23994000.0,6012972.0,11901666.0,3999.0,0.0,7998000.0,23994000.0,131829.0,52869.0,131829.0,0.0,131829.0,20718.0
5000,12497485.0,18649344.0,4999.0,0.0,12497500.0,37492500.0,9361240.0,18649344.0,4999.0,0.0,12497500.0,37492500.0,169778.0,66012.0,169778.0,0.0,169778.0,26196.0
6000,17965481.0,26744151.0,5999.0,0.0,17997000.0,53991000.0,13362510.0,26744151.0,5999.0,0.0,17997000.0,53991000.0,209732.0,79821.0,209732.0,0.0,209732.0,31980.0
7000,24460260.0,36429903.0,6999.0,0.0,24496500.0,73489500.0,18320645.0,36429903.0,6999.0,0.0,24496500.0,73489500.0,251684.0,93618.0,251684.0,0.0,251684.0,38592.0
8000,31987614.0,47771532.0,7999.0,0.0,31996000.0,95988000.0,23929864.0,47771532.0,7999.0,0.0,31996000.0,95988000.0,287637.0,108093.0,287637.0,0.0,287637.0,44256.0
9000,40432169.0,60874467.0,8999.0,0.0,40495500.0,121486500.0,30368250.0,60874467.0,8999.0,0.0,40495500.0,121486500.0,332586.0,123990.0,332586.0,0.0,332586.0,51666.0
10000,49958907.0,75356772.0,9999.0,0.0,49995000.0,149985000.0,37652004.0,75356772.0,9999.0,0.0,49995000.0,149985000.0,369539.0,136449.0,369539.0,0.0,369539.0,56436.0
25000,312215133.0,467596089.0,24999.0,0.0,312487500.0,937462500.0,234506184.0,467596089.0,24999.0,0.0,312487500.0,937462500.0,1023812.0,344364.0,1023812.0,0.0,1023812.0,155832.0
50000,1249802039.0,1865384223.0,49999.0,0.0,1249975000.0,3749925000.0,934907247.0,1865384223.0,49999.0,0.0,1249975000.0,3749925000.0,2247599.0,699381.0,2247599.0,0.0,2247599.0,326634.0
